GID_3,populasi
IDN.4.4.26_1,20633
IDN.4.4.27_1,286553
IDN.4.4.28_1,87592
IDN.4.5.1_1,14693
IDN.4.5.2_1,43215
IDN.4.5.3_1,9831
IDN.4.5.4_1,23291
IDN.4.5.5_1,29261
IDN.4.5.6_1,11400
IDN.4.5.7_1,3452
IDN.4.5.8_1,9253
IDN.4.5.9_1,16486
IDN.4.5.10_1,198109
IDN.4.5.11_1,30991
IDN.4.5.12_1,61631
IDN.4.5.13_1,43856
IDN.4.5.14_1,12906
IDN.4.5.15_1,14244
IDN.4.5.16_1,59156
IDN.4.5.17_1,57652
IDN.4.5.18_1,19324
IDN.4.5.19_1,41488
IDN.4.5.20_1,60419
IDN.4.5.21_1,40906
IDN.4.5.22_1,15374
IDN.4.5.23_1,32679
IDN.4.5.24_1,19172
IDN.4.5.25_1,25605
IDN.4.5.26_1,66073
IDN.4.5.27_1,90580
IDN.4.5.28_1,23525
IDN.4.5.29_1,14653
IDN.4.5.30_1,14220
IDN.4.5.31_1,34640
IDN.4.5.32_1,11169
IDN.4.5.33_1,36607
IDN.4.5.34_1,52476
IDN.4.5.35_1,26187
IDN.4.6.1_1,36972
IDN.4.6.2_1,22191
IDN.4.6.3_1,22318
IDN.4.6.4_1,49086
IDN.4.6.5_1,64829
IDN.4.6.6_1,69278
IDN.4.6.7_1,157086
IDN.4.6.8_1,56993
IDN.4.6.9_1,20214
IDN.4.6.10_1,19924
IDN.4.6.11_1,117104
IDN.4.6.12_1,11285
IDN.4.6.13_1,68598
IDN.4.6.14_1,110608
IDN.4.6.15_1,29006
IDN.4.6.16_1,124869
IDN.4.6.17_1,148453
IDN.4.6.18_1,14598
IDN.4.6.19_1,35744
IDN.4.6.20_1,22897
IDN.4.6.21_1,40805
IDN.4.6.22_1,21500
IDN.4.6.23_1,103833
IDN.4.6.24_1,82657
IDN.4.6.25_1,83063
IDN.4.6.26_1,64470
IDN.4.6.27_1,34501
IDN.4.6.28_1,29669
IDN.4.8.1_1,178968
IDN.4.8.2_1,373336
IDN.4.8.3_1,125895
IDN.4.8.4_1,54555
IDN.4.8.5_1,246324
IDN.4.8.6_1,43822
IDN.4.8.7_1,94766
IDN.4.8.8_1,63259
IDN.4.8.9_1,242772
IDN.4.8.10_1,82533
IDN.4.8.11_1,142371
IDN.4.8.12_1,73871
IDN.4.8.13_1,104340
IDN.4.8.14_1,202558
IDN.4.8.15_1,201009
IDN.4.8.16_1,69731
IDN.4.8.17_1,277583
IDN.4.8.18_1,212922
IDN.4.8.19_1,209039
IDN.4.8.20_1,236543
IDN.4.8.21_1,273176
IDN.4.8.23_1,141248
IDN.4.8.22_1,105085
IDN.4.8.24_1,202350
IDN.4.8.25_1,59897
IDN.4.8.26_1,173065
IDN.4.8.27_1,70512
IDN.4.8.28_1,170835
IDN.4.8.29_1,241661
IDN.4.7.2_1,220698
IDN.4.7.1_1,207824
IDN.4.7.3_1,258148
IDN.4.7.4_1,356747
IDN.4.7.6_1,279911
IDN.4.7.5_1,271854
IDN.4.7.7_1,129664
IDN.5.4.1_1,78487
IDN.5.4.2_1,40162
IDN.5.4.3_1,51945
IDN.5.4.4_1,44555
IDN.5.4.5_1,19721
IDN.5.4.6_1,68604
IDN.5.4.7_1,31581
IDN.5.4.8_1,15686
IDN.5.1.1_1,8182
IDN.5.1.2_1,7021
IDN.5.1.4_1,13412
IDN.5.1.3_1,14717
IDN.5.1.5_1,36898
IDN.5.1.6_1,14271
IDN.5.1.7_1,15775
IDN.5.1.8_1,17487
IDN.5.1.9_1,15381
IDN.5.1.10_1,14323
IDN.5.1.11_1,6169
IDN.5.2.1_1,2728
IDN.5.2.2_1,16140
IDN.5.2.3_1,4571
IDN.5.2.4_1,2393
IDN.5.2.5_1,2905
IDN.5.2.6_1,1742
IDN.5.2.7_1,1684
IDN.5.2.8_1,39261
IDN.5.2.9_1,1735
IDN.5.2.10_1,11558
IDN.5.2.11_1,16017
IDN.5.3.1_1,14860
IDN.5.3.2_1,47980
IDN.5.3.3_1,58651
IDN.5.3.4_1,12607
IDN.5.3.5_1,23485
IDN.5.3.6_1,1235
IDN.5.3.7_1,1529
IDN.5.3.8_1,23573
IDN.5.3.9_1,28927
IDN.5.3.10_1,22171
IDN.5.3.11_1,12653
IDN.5.3.12_1,7944
IDN.5.3.13_1,17711
IDN.5.5.1_1,26066
IDN.5.5.2_1,4879
IDN.5.5.3_1,8066
IDN.5.5.4_1,7530
IDN.5.5.5_1,5351
IDN.5.5.6_1,5734
IDN.5.5.7_1,4227
IDN.5.5.8_1,8413
IDN.5.5.9_1,5152
IDN.5.5.10_1,4849
IDN.5.5.11_1,8325
IDN.5.5.12_1,8431
IDN.5.5.13_1,4883
IDN.5.5.14_1,17645
IDN.5.5.15_1,3971
IDN.5.6.1_1,11627
IDN.5.6.2_1,9846
IDN.5.6.3_1,57759
IDN.5.6.4_1,10562
IDN.5.6.5_1,9560
IDN.5.6.6_1,4176
IDN.5.6.7_1,10678
IDN.5.6.8_1,19721
IDN.5.7.1_1,13125
IDN.5.7.2_1,10275
IDN.5.7.3_1,8138
IDN.5.7.4_1,11154
IDN.5.7.5_1,12615
IDN.5.7.6_1,13896
IDN.5.7.7_1,11023
IDN.5.7.8_1,0
IDN.5.7.9_1,7867
IDN.5.7.10_1,6686
IDN.5.7.11_1,3759
IDN.5.7.12_1,2976
IDN.5.7.13_1,3915
IDN.5.8.1_1,6159
IDN.5.8.2_1,3520
IDN.5.8.3_1,2509
IDN.5.8.4_1,978
IDN.5.8.5_1,17170
IDN.5.8.6_1,39248
IDN.5.8.7_1,19166
IDN.5.8.8_1,2114
IDN.5.8.9_1,16729
IDN.5.8.10_1,21277
IDN.5.8.11_1,6228
IDN.5.8.12_1,1623
IDN.5.8.13_1,7431
IDN.5.8.14_1,9856
IDN.5.8.15_1,6390
IDN.5.8.16_1,10681
IDN.5.9.2_1,6990
IDN.5.9.1_1,7669
IDN.5.9.3_1,7578
IDN.5.9.8_1,21336
IDN.5.9.4_1,23170
IDN.5.9.5_1,28640
IDN.5.9.6_1,28614
IDN.5.9.7_1,17055
IDN.5.9.9_1,8854
IDN.5.9.10_1,20255
IDN.5.9.11_1,46642
IDN.5.9.12_1,5600
IDN.5.9.13_1,12661
IDN.5.9.14_1,8537
IDN.5.9.15_1,18121
IDN.5.10.1_1,17125
IDN.5.10.2_1,19793
IDN.5.10.3_1,13438
IDN.5.10.8_1,13093
IDN.5.10.4_1,9997
IDN.5.10.5_1,12222
IDN.5.10.6_1,7433
IDN.5.10.7_1,10671
IDN.5.10.10_1,15691
IDN.5.10.9_1,23646
IDN.5.10.11_1,21166
IDN.5.10.13_1,10639
IDN.5.10.12_1,11916
IDN.5.10.14_1,4322
IDN.6.1.1_1,15388
IDN.6.1.2_1,6403
IDN.6.1.3_1,12483
IDN.6.1.5_1,41836
IDN.6.1.4_1,2692
IDN.6.1.6_1,57929
IDN.6.1.7_1,16904
IDN.6.2.3_1,13321
IDN.6.2.1_1,23087
IDN.6.2.2_1,17398
IDN.6.2.4_1,14306
IDN.6.2.5_1,40076
IDN.6.2.6_1,11304
IDN.6.2.7_1,2907
IDN.6.2.8_1,12211
IDN.6.2.9_1,1878
IDN.6.2.11_1,36330
IDN.6.2.10_1,4265
IDN.6.2.15_1,23290
IDN.6.2.12_1,7754
IDN.6.2.13_1,14920
IDN.6.2.14_1,16271
IDN.6.2.16_1,33912
IDN.6.2.17_1,28631
IDN.6.3.1_1,1003
IDN.6.5.1_1,8915
IDN.6.5.3_1,5662
IDN.6.5.2_1,2362
IDN.6.5.4_1,1004
IDN.6.5.5_1,23575
IDN.6.5.6_1,11363
IDN.6.5.8_1,29973
IDN.6.5.7_1,22139
IDN.6.5.9_1,18799
IDN.6.5.10_1,11790
IDN.6.5.11_1,11318
IDN.6.5.14_1,15778
IDN.6.5.12_1,19989
IDN.6.5.13_1,6233
IDN.6.5.15_1,24487
IDN.6.5.16_1,7560
IDN.6.5.17_1,19672
IDN.6.4.1_1,21885
IDN.6.4.2_1,21498
IDN.6.4.3_1,6750
IDN.6.4.4_1,35764
IDN.6.4.5_1,20358
IDN.6.4.6_1,50229
IDN.6.6.1_1,32284
IDN.6.6.2_1,26828
IDN.6.6.3_1,55718
IDN.6.6.4_1,50073
IDN.6.6.5_1,70694
IDN.6.6.6_1,82979
IDN.6.7.1_1,16901
IDN.6.7.2_1,3438
IDN.6.7.3_1,11512
IDN.6.7.4_1,1949
IDN.6.7.5_1,57463
IDN.6.7.6_1,34558
IDN.6.7.7_1,3296
IDN.6.7.10_1,3960
IDN.6.7.8_1,2779
IDN.6.7.9_1,4276
IDN.6.7.11_1,6576
IDN.6.7.12_1,2201
IDN.6.7.13_1,329
IDN.7.1.1_1,621758
IDN.7.1.2_1,214379
IDN.7.1.3_1,622890
IDN.7.1.4_1,370130
